[2024-03-22 16:48:14,177][Main][INFO] - Distributed environment: MULTI_GPU  Backend: nccl
Num processes: 2
Process index: 1
Local process index: 1
Device: cuda:1

Mixed precision type: no

[2024-03-22 16:48:14,189][Main][INFO] - Distributed environment: MULTI_GPU  Backend: nccl
Num processes: 2
Process index: 0
Local process index: 0
Device: cuda:0

Mixed precision type: no

[2024-03-22 16:48:14,189][Main][INFO] - Working directory is /home/lr/zym/research/MolMamba/BioT5/logs
[2024-03-22 16:57:30,719][Main][INFO] - [train] Step 52 out of 350000 | Loss --> 3.450652 | Grad_l2 --> 0.775216 | Weights_l2 --> 2626.375796 | Lr --> 0.000331 | Seconds_per_step --> 8.843470 | 
[2024-03-22 16:57:48,536][Main][INFO] - [train] Step 54 out of 350000 | Loss --> 3.429811 | Grad_l2 --> 0.774162 | Weights_l2 --> 2626.378503 | Lr --> 0.000332 | Seconds_per_step --> 8.908416 | 
[2024-03-22 16:58:06,277][Main][INFO] - [train] Step 56 out of 350000 | Loss --> 3.472088 | Grad_l2 --> 0.743551 | Weights_l2 --> 2626.381509 | Lr --> 0.000334 | Seconds_per_step --> 8.870654 | 
[2024-03-22 16:58:23,808][Main][INFO] - [train] Step 58 out of 350000 | Loss --> 3.373660 | Grad_l2 --> 0.647698 | Weights_l2 --> 2626.384496 | Lr --> 0.000335 | Seconds_per_step --> 8.764861 | 
[2024-03-22 16:58:41,325][Main][INFO] - [train] Step 60 out of 350000 | Loss --> 3.326235 | Grad_l2 --> 0.615901 | Weights_l2 --> 2626.387536 | Lr --> 0.000336 | Seconds_per_step --> 8.758389 | 
[2024-03-22 16:58:58,809][Main][INFO] - [train] Step 62 out of 350000 | Loss --> 3.320110 | Grad_l2 --> 0.629788 | Weights_l2 --> 2626.390744 | Lr --> 0.000337 | Seconds_per_step --> 8.740273 | 
[2024-03-22 16:59:16,269][Main][INFO] - [train] Step 64 out of 350000 | Loss --> 3.312937 | Grad_l2 --> 0.653960 | Weights_l2 --> 2626.394128 | Lr --> 0.000338 | Seconds_per_step --> 8.729702 | 
[2024-03-22 16:59:33,801][Main][INFO] - [train] Step 66 out of 350000 | Loss --> 3.207465 | Grad_l2 --> 0.617657 | Weights_l2 --> 2626.397548 | Lr --> 0.000340 | Seconds_per_step --> 8.765959 | 
[2024-03-22 16:59:51,408][Main][INFO] - [train] Step 68 out of 350000 | Loss --> 3.316551 | Grad_l2 --> 0.629511 | Weights_l2 --> 2626.401203 | Lr --> 0.000341 | Seconds_per_step --> 8.803404 | 
[2024-03-22 17:00:08,909][Main][INFO] - [train] Step 70 out of 350000 | Loss --> 3.160758 | Grad_l2 --> 0.655423 | Weights_l2 --> 2626.404863 | Lr --> 0.000342 | Seconds_per_step --> 8.750347 | 
[2024-03-22 17:00:26,511][Main][INFO] - [train] Step 72 out of 350000 | Loss --> 3.203561 | Grad_l2 --> 0.701934 | Weights_l2 --> 2626.408641 | Lr --> 0.000343 | Seconds_per_step --> 8.800692 | 
[2024-03-22 17:00:44,267][Main][INFO] - [train] Step 74 out of 350000 | Loss --> 3.188534 | Grad_l2 --> 0.644205 | Weights_l2 --> 2626.412426 | Lr --> 0.000344 | Seconds_per_step --> 8.877578 | 
[2024-03-22 17:01:02,054][Main][INFO] - [train] Step 76 out of 350000 | Loss --> 3.263001 | Grad_l2 --> 0.626510 | Weights_l2 --> 2626.416392 | Lr --> 0.000346 | Seconds_per_step --> 8.893279 | 
[2024-03-22 17:01:19,807][Main][INFO] - [train] Step 78 out of 350000 | Loss --> 3.180587 | Grad_l2 --> 0.704492 | Weights_l2 --> 2626.420311 | Lr --> 0.000347 | Seconds_per_step --> 8.876778 | 
[2024-03-22 17:01:37,434][Main][INFO] - [train] Step 80 out of 350000 | Loss --> 3.120403 | Grad_l2 --> 0.699044 | Weights_l2 --> 2626.424253 | Lr --> 0.000348 | Seconds_per_step --> 8.813153 | 
[2024-03-22 17:01:55,124][Main][INFO] - [train] Step 82 out of 350000 | Loss --> 3.131193 | Grad_l2 --> 0.666836 | Weights_l2 --> 2626.428288 | Lr --> 0.000349 | Seconds_per_step --> 8.843077 | 
[2024-03-22 17:02:12,752][Main][INFO] - [train] Step 84 out of 350000 | Loss --> 3.048229 | Grad_l2 --> 0.668367 | Weights_l2 --> 2626.432313 | Lr --> 0.000350 | Seconds_per_step --> 8.813991 | 
[2024-03-22 17:02:30,497][Main][INFO] - [train] Step 86 out of 350000 | Loss --> 3.080830 | Grad_l2 --> 0.782388 | Weights_l2 --> 2626.436402 | Lr --> 0.000352 | Seconds_per_step --> 8.872315 | 
[2024-03-22 17:02:48,186][Main][INFO] - [train] Step 88 out of 350000 | Loss --> 3.042702 | Grad_l2 --> 0.685163 | Weights_l2 --> 2626.440366 | Lr --> 0.000353 | Seconds_per_step --> 8.844086 | 
[2024-03-22 17:03:05,923][Main][INFO] - [train] Step 90 out of 350000 | Loss --> 3.052113 | Grad_l2 --> 0.644816 | Weights_l2 --> 2626.444325 | Lr --> 0.000354 | Seconds_per_step --> 8.868485 | 
[2024-03-22 17:03:23,549][Main][INFO] - [train] Step 92 out of 350000 | Loss --> 3.018016 | Grad_l2 --> 0.676898 | Weights_l2 --> 2626.448320 | Lr --> 0.000355 | Seconds_per_step --> 8.812518 | 
[2024-03-22 17:03:41,237][Main][INFO] - [train] Step 94 out of 350000 | Loss --> 3.055918 | Grad_l2 --> 0.700348 | Weights_l2 --> 2626.452489 | Lr --> 0.000356 | Seconds_per_step --> 8.844244 | 
[2024-03-22 17:03:59,000][Main][INFO] - [train] Step 96 out of 350000 | Loss --> 2.925562 | Grad_l2 --> 0.746357 | Weights_l2 --> 2626.456636 | Lr --> 0.000358 | Seconds_per_step --> 8.880836 | 
[2024-03-22 17:04:16,784][Main][INFO] - [train] Step 98 out of 350000 | Loss --> 3.038759 | Grad_l2 --> 0.669715 | Weights_l2 --> 2626.460643 | Lr --> 0.000359 | Seconds_per_step --> 8.892058 | 
[2024-03-22 17:04:34,604][Main][INFO] - [train] Step 100 out of 350000 | Loss --> 2.875580 | Grad_l2 --> 0.637555 | Weights_l2 --> 2626.464720 | Lr --> 0.000360 | Seconds_per_step --> 8.909624 | 
[2024-03-22 17:04:52,223][Main][INFO] - [train] Step 102 out of 350000 | Loss --> 2.906344 | Grad_l2 --> 0.617859 | Weights_l2 --> 2626.468916 | Lr --> 0.000361 | Seconds_per_step --> 8.803220 | 
[2024-03-22 17:05:09,882][Main][INFO] - [train] Step 104 out of 350000 | Loss --> 2.957661 | Grad_l2 --> 0.614854 | Weights_l2 --> 2626.473077 | Lr --> 0.000362 | Seconds_per_step --> 8.829148 | 
